Country,conference,ranking/points,Date
Belgium,UEFA,1828,2022-02-10
Brazil,CONMEBOL,1823,2022-02-10
France,UEFA,1786,2022-02-10
Argentina,CONMEBOL,1767,2022-02-10
England,UEFA,1756,2022-02-10
Italy,UEFA,1741,2022-02-10
Spain,UEFA,1705,2022-02-10
Portugal,UEFA,1660,2022-02-10
Denmark,UEFA,1655,2022-02-10
Netherlands,UEFA,1654,2022-02-10
Germany,UEFA,1648,2022-02-10
Mexico,CONCACAF,1648,2022-02-10
USA,CONCACAF,1643,2022-02-10
Switzerland,UEFA,1643,2022-02-10
Croatia,UEFA,1621,2022-02-10
Uruguay,CONMEBOL,1614,2022-02-10
Sweden,UEFA,1588,2022-02-10
Senegal,CAF,1588,2022-02-10
Colombia,CONMEBOL,1586,2022-02-10
Wales,UEFA,1578,2022-02-10
Iran,AFC,1573,2022-02-10
Peru,CONMEBOL,1563,2022-02-10
Japan,AFC,1550,2022-02-10
Morocco,CAF,1547,2022-02-10
Serbia,UEFA,1547,2022-02-10
Chile,CONMEBOL,1543,2022-02-10
Ukraine,UEFA,1535,2022-02-10
Poland,UEFA,1531,2022-02-10
South Korea,AFC,1523,2022-02-10
Austria,UEFA,1512,2022-02-10
Czechia,UEFA,1510,2022-02-10
Nigeria,CAF,1510,2022-02-10
Canada,CONCACAF,1498,2022-02-10
Egypt,CAF,1497,2022-02-10
Russia,UEFA,1493,2022-02-10
Tunisia,CAF,1490,2022-02-10
Australia,AFC,1487,2022-02-10
Cameroon,CAF,1481,2022-02-10
Turkey,UEFA,1473,2022-02-10
Scotland,UEFA,1472,2022-02-10
Hungary,UEFA,1466,2022-02-10
Costa Rica,CONCACAF,1464,2022-02-10
Algeria,CAF,1461,2022-02-10
Ecuador,CONMEBOL,1459,2022-02-10
Norway,UEFA,1455,2022-02-10
Slovakia,UEFA,1455,2022-02-10
Romania,UEFA,1453,2022-02-10
Mali,CAF,1446,2022-02-10
Ireland,UEFA,1444,2022-02-10
Paraguay,CONMEBOL,1441,2022-02-10
Ivory Coast,CAF,1440,2022-02-10
Qatar,AFC,1438,2022-02-10
Saudi Arabia,AFC,1434,2022-02-10
N. Ireland,UEFA,1425,2022-02-10
Greece,UEFA,1422,2022-02-10
Burkina Faso,CAF,1419,2022-02-10
Finland,UEFA,1412,2022-02-10
Venezuela,CONMEBOL,1411,2022-02-10
Bosnia,UEFA,1391,2022-02-10
Iceland,UEFA,1383,2022-02-10
Ghana,CAF,1381,2022-02-10
Jamaica,CONCACAF,1379,2022-02-10
Panama,CONCACAF,1376,2022-02-10
Slovenia,UEFA,1375,2022-02-10
Albania,UEFA,1375,2022-02-10
DR Congo,CAF,1370,2022-02-10
North Macedonia,UEFA,1367,2022-02-10
South Africa,CAF,1358,2022-02-10
U. A. E.,AFC,1353,2022-02-10
El Salvador,CONCACAF,1346,2022-02-10
Bulgaria,UEFA,1345,2022-02-10
Montenegro,UEFA,1343,2022-02-10
Cape Verde,CAF,1337,2022-02-10
Iraq,AFC,1325,2022-02-10
China,AFC,1314,2022-02-10
Belgium,UEFA,1828,2021-12-23
Brazil,CONMEBOL,1826,2021-12-23
France,UEFA,1786,2021-12-23
England,UEFA,1756,2021-12-23
Argentina,CONMEBOL,1751,2021-12-23
Italy,UEFA,1741,2021-12-23
Spain,UEFA,1705,2021-12-23
Portugal,UEFA,1660,2021-12-23
Denmark,UEFA,1655,2021-12-23
Netherlands,UEFA,1654,2021-12-23
USA,CONCACAF,1649,2021-12-23
Germany,UEFA,1648,2021-12-23
Switzerland,UEFA,1643,2021-12-23
Mexico,CONCACAF,1638,2021-12-23
Croatia,UEFA,1621,2021-12-23
Colombia,CONMEBOL,1607,2021-12-23
Uruguay,CONMEBOL,1597,2021-12-23
Sweden,UEFA,1588,2021-12-23
Wales,UEFA,1578,2021-12-23
Senegal,CAF,1562,2021-12-23
Iran,AFC,1558,2021-12-23
Peru,CONMEBOL,1551,2021-12-23
Serbia,UEFA,1547,2021-12-23
Chile,CONMEBOL,1543,2021-12-23
Ukraine,UEFA,1535,2021-12-23
Japan,AFC,1532,2021-12-23
Poland,UEFA,1531,2021-12-23
Morocco,CAF,1530,2021-12-23
Algeria,CAF,1517,2021-12-23
Tunisia,CAF,1513,2021-12-23
Austria,UEFA,1512,2021-12-23
Czechia,UEFA,1510,2021-12-23
South Korea,AFC,1507,2021-12-23
Russia,UEFA,1493,2021-12-23
Australia,AFC,1485,2021-12-23
Nigeria,CAF,1479,2021-12-23
Turkey,UEFA,1473,2021-12-23
Scotland,UEFA,1472,2021-12-23
Hungary,UEFA,1466,2021-12-23
Canada,CONCACAF,1462,2021-12-23
Norway,UEFA,1455,2021-12-23
Slovakia,UEFA,1455,2021-12-23
Paraguay,CONMEBOL,1455,2021-12-23
Romania,UEFA,1453,2021-12-23
Egypt,CAF,1452,2021-12-23
Ecuador,CONMEBOL,1448,2021-12-23
Ireland,UEFA,1444,2021-12-23
Qatar,AFC,1438,2021-12-23
Costa Rica,CONCACAF,1437,2021-12-23
Cameroon,CAF,1437,2021-12-23
Saudi Arabia,AFC,1435,2021-12-23
Ghana,CAF,1429,2021-12-23
Mali,CAF,1428,2021-12-23
N. Ireland,UEFA,1425,2021-12-23
Greece,UEFA,1422,2021-12-23
Ivory Coast,CAF,1418,2021-12-23
Jamaica,CONCACAF,1412,2021-12-23
Finland,UEFA,1412,2021-12-23
Venezuela,CONMEBOL,1409,2021-12-23
Burkina Faso,CAF,1398,2021-12-23
Bosnia,UEFA,1391,2021-12-23
Iceland,UEFA,1385,2021-12-23
Panama,CONCACAF,1379,2021-12-23
DR Congo,CAF,1376,2021-12-23
Slovenia,UEFA,1375,2021-12-23
Albania,UEFA,1375,2021-12-23
North Macedonia,UEFA,1367,2021-12-23
South Africa,CAF,1358,2021-12-23
U. A. E.,AFC,1350,2021-12-23
El Salvador,CONCACAF,1349,2021-12-23
Bulgaria,UEFA,1345,2021-12-23
Montenegro,UEFA,1343,2021-12-23
Cape Verde,CAF,1339,2021-12-23
China,AFC,1337,2021-12-23
Iraq,AFC,1333,2021-12-23
Belgium,UEFA,1828,2021-11-19
Brazil,CONMEBOL,1826,2021-11-19
France,UEFA,1786,2021-11-19
England,UEFA,1756,2021-11-19
Argentina,CONMEBOL,1751,2021-11-19
Italy,UEFA,1741,2021-11-19
Spain,UEFA,1705,2021-11-19
Portugal,UEFA,1660,2021-11-19
Denmark,UEFA,1655,2021-11-19
Netherlands,UEFA,1654,2021-11-19
Germany,UEFA,1648,2021-11-19
USA,CONCACAF,1647,2021-11-19
Switzerland,UEFA,1643,2021-11-19
Mexico,CONCACAF,1639,2021-11-19
Croatia,UEFA,1621,2021-11-19
Colombia,CONMEBOL,1607,2021-11-19
Uruguay,CONMEBOL,1597,2021-11-19
Sweden,UEFA,1588,2021-11-19
Wales,UEFA,1578,2021-11-19
Senegal,CAF,1562,2021-11-19
Iran,AFC,1558,2021-11-19
Peru,CONMEBOL,1551,2021-11-19
Serbia,UEFA,1547,2021-11-19
Chile,CONMEBOL,1541,2021-11-19
Ukraine,UEFA,1535,2021-11-19
Japan,AFC,1532,2021-11-19
Poland,UEFA,1531,2021-11-19
Morocco,CAF,1526,2021-11-19
Tunisia,CAF,1512,2021-11-19
Austria,UEFA,1512,2021-11-19
Czechia,UEFA,1510,2021-11-19
Algeria,CAF,1509,2021-11-19
South Korea,AFC,1507,2021-11-19
Russia,UEFA,1493,2021-11-19
Australia,AFC,1485,2021-11-19
Nigeria,CAF,1479,2021-11-19
Turkey,UEFA,1473,2021-11-19
Scotland,UEFA,1472,2021-11-19
Hungary,UEFA,1466,2021-11-19
Canada,CONCACAF,1462,2021-11-19
Norway,UEFA,1455,2021-11-19
Slovakia,UEFA,1455,2021-11-19
Paraguay,CONMEBOL,1455,2021-11-19
Romania,UEFA,1453,2021-11-19
Egypt,CAF,1450,2021-11-19
Ecuador,CONMEBOL,1449,2021-11-19
Ireland,UEFA,1444,2021-11-19
Saudi Arabia,AFC,1441,2021-11-19
Costa Rica,CONCACAF,1437,2021-11-19
Cameroon,CAF,1437,2021-11-19
Qatar,AFC,1431,2021-11-19
Ghana,CAF,1429,2021-11-19
Mali,CAF,1428,2021-11-19
N. Ireland,UEFA,1425,2021-11-19
Greece,UEFA,1422,2021-11-19
Ivory Coast,CAF,1418,2021-11-19
Jamaica,CONCACAF,1412,2021-11-19
Finland,UEFA,1412,2021-11-19
Venezuela,CONMEBOL,1409,2021-11-19
Burkina Faso,CAF,1398,2021-11-19
Bosnia,UEFA,1393,2021-11-19
Iceland,UEFA,1385,2021-11-19
Panama,CONCACAF,1379,2021-11-19
DR Congo,CAF,1376,2021-11-19
Slovenia,UEFA,1375,2021-11-19
Albania,UEFA,1375,2021-11-19
North Macedonia,UEFA,1367,2021-11-19
South Africa,CAF,1358,2021-11-19
El Salvador,CONCACAF,1351,2021-11-19
U. A. E.,AFC,1350,2021-11-19
Bulgaria,UEFA,1345,2021-11-19
Montenegro,UEFA,1343,2021-11-19
Cape Verde,CAF,1339,2021-11-19
China,AFC,1337,2021-11-19
Iraq,AFC,1336,2021-11-19
Belgium,UEFA,1832,2021-10-21
Brazil,CONMEBOL,1820,2021-10-21
France,UEFA,1779,2021-10-21
Italy,UEFA,1751,2021-10-21
England,UEFA,1750,2021-10-21
Argentina,CONMEBOL,1739,2021-10-21
Spain,UEFA,1688,2021-10-21
Portugal,UEFA,1682,2021-10-21
Mexico,CONCACAF,1673,2021-10-21
Denmark,UEFA,1669,2021-10-21
Netherlands,UEFA,1652,2021-10-21
Germany,UEFA,1642,2021-10-21
USA,CONCACAF,1639,2021-10-21
Switzerland,UEFA,1634,2021-10-21
Uruguay,CONMEBOL,1626,2021-10-21
Colombia,CONMEBOL,1619,2021-10-21
Sweden,UEFA,1619,2021-10-21
Croatia,UEFA,1609,2021-10-21
Wales,UEFA,1567,2021-10-21
Senegal,CAF,1565,2021-10-21
Chile,CONMEBOL,1546,2021-10-21
Iran,AFC,1545,2021-10-21
Poland,UEFA,1542,2021-10-21
Peru,CONMEBOL,1534,2021-10-21
Serbia,UEFA,1527,2021-10-21
Ukraine,UEFA,1527,2021-10-21
Tunisia,CAF,1525,2021-10-21
Japan,AFC,1518,2021-10-21
Morocco,CAF,1513,2021-10-21
Algeria,CAF,1509,2021-10-21
Czechia,UEFA,1503,2021-10-21
Austria,UEFA,1501,2021-10-21
Russia,UEFA,1497,2021-10-21
Australia,AFC,1490,2021-10-21
South Korea,AFC,1489,2021-10-21
Nigeria,CAF,1478,2021-10-21
Norway,UEFA,1472,2021-10-21
Paraguay,CONMEBOL,1461,2021-10-21
Turkey,UEFA,1461,2021-10-21
Slovakia,UEFA,1454,2021-10-21
Romania,UEFA,1452,2021-10-21
Scotland,UEFA,1451,2021-10-21
Hungary,UEFA,1449,2021-10-21
Egypt,CAF,1448,2021-10-21
Costa Rica,CONCACAF,1440,2021-10-21
Qatar,AFC,1438,2021-10-21
Greece,UEFA,1435,2021-10-21
Canada,CONCACAF,1432,2021-10-21
Saudi Arabia,AFC,1432,2021-10-21
Venezuela,CONMEBOL,1432,2021-10-21
Ireland,UEFA,1431,2021-10-21
Ghana,CAF,1425,2021-10-21
Ivory Coast,CAF,1424,2021-10-21
Cameroon,CAF,1418,2021-10-21
Ecuador,CONMEBOL,1417,2021-10-21
Bosnia,UEFA,1415,2021-10-21
Mali,CAF,1412,2021-10-21
N. Ireland,UEFA,1412,2021-10-21
Jamaica,CONCACAF,1408,2021-10-21
Finland,UEFA,1404,2021-10-21
Burkina Faso,CAF,1401,2021-10-21
Iceland,UEFA,1397,2021-10-21
Albania,UEFA,1374,2021-10-21
Slovenia,UEFA,1365,2021-10-21
El Salvador,CONCACAF,1365,2021-10-21
South Africa,CAF,1362,2021-10-21
DR Congo,CAF,1358,2021-10-21
Honduras,CONCACAF,1355,2021-10-21
Panama,CONCACAF,1354,2021-10-21
Bulgaria,UEFA,1350,2021-10-21
U. A. E.,AFC,1349,2021-10-21
Iraq,AFC,1346,2021-10-21
Montenegro,UEFA,1346,2021-10-21
North Macedonia,UEFA,1343,2021-10-21
China,AFC,1334,2021-10-21
Belgium,UEFA,1822,2021-08-12
Brazil,CONMEBOL,1798,2021-08-12
France,UEFA,1762,2021-08-12
England,UEFA,1753,2021-08-12
Italy,UEFA,1745,2021-08-12
Argentina,CONMEBOL,1714,2021-08-12
Spain,UEFA,1680,2021-08-12
Portugal,UEFA,1662,2021-08-12
Mexico,CONCACAF,1658,2021-08-12
USA,CONCACAF,1648,2021-08-12
Denmark,UEFA,1642,2021-08-12
Netherlands,UEFA,1637,2021-08-12
Uruguay,CONMEBOL,1635,2021-08-12
Switzerland,UEFA,1621,2021-08-12
Colombia,CONMEBOL,1618,2021-08-12
Germany,UEFA,1613,2021-08-12
Sweden,UEFA,1607,2021-08-12
Croatia,UEFA,1594,2021-08-12
Wales,UEFA,1567,2021-08-12
Chile,CONMEBOL,1558,2021-08-12
Senegal,CAF,1545,2021-08-12
Peru,CONMEBOL,1543,2021-08-12
Austria,UEFA,1535,2021-08-12
Japan,AFC,1529,2021-08-12
Ukraine,UEFA,1523,2021-08-12
Iran,AFC,1522,2021-08-12
Poland,UEFA,1516,2021-08-12
Tunisia,CAF,1515,2021-08-12
Serbia,UEFA,1507,2021-08-12
Algeria,CAF,1499,2021-08-12
Czechia,UEFA,1493,2021-08-12
Morocco,CAF,1488,2021-08-12
Paraguay,CONMEBOL,1483,2021-08-12
Nigeria,CAF,1480,2021-08-12
Australia,AFC,1477,2021-08-12
South Korea,AFC,1475,2021-08-12
Hungary,UEFA,1474,2021-08-12
Slovakia,UEFA,1467,2021-08-12
Turkey,UEFA,1464,2021-08-12
Venezuela,CONMEBOL,1463,2021-08-12
Russia,UEFA,1462,2021-08-12
Qatar,AFC,1455,2021-08-12
Norway,UEFA,1450,2021-08-12
Costa Rica,CONCACAF,1450,2021-08-12
Romania,UEFA,1440,2021-08-12
Egypt,CAF,1433,2021-08-12
Ireland,UEFA,1429,2021-08-12
Greece,UEFA,1427,2021-08-12
Scotland,UEFA,1425,2021-08-12
Jamaica,CONCACAF,1423,2021-08-12
N. Ireland,UEFA,1422,2021-08-12
Ghana,CAF,1421,2021-08-12
Iceland,UEFA,1418,2021-08-12
Cameroon,CAF,1411,2021-08-12
Ecuador,CONMEBOL,1405,2021-08-12
Finland,UEFA,1404,2021-08-12
Ivory Coast,CAF,1403,2021-08-12
Bosnia,UEFA,1402,2021-08-12
Canada,CONCACAF,1399,2021-08-12
Mali,CAF,1393,2021-08-12
Saudi Arabia,AFC,1386,2021-08-12
Burkina Faso,CAF,1384,2021-08-12
Honduras,CONCACAF,1378,2021-08-12
El Salvador,CONCACAF,1375,2021-08-12
DR Congo,CAF,1373,2021-08-12
Slovenia,UEFA,1371,2021-08-12
Montenegro,UEFA,1363,2021-08-12
U. A. E.,AFC,1362,2021-08-12
Albania,UEFA,1360,2021-08-12
Iraq,AFC,1355,2021-08-12
China,AFC,1353,2021-08-12
North Macedonia,UEFA,1343,2021-08-12
South Africa,CAF,1338,2021-08-12
Panama,CONCACAF,1335,2021-08-12
Bulgaria,UEFA,1335,2021-08-12
Belgium,UEFA,1783,2021-06-15
France,UEFA,1757,2021-06-15
Brazil,CONMEBOL,1743,2021-06-15
England,UEFA,1687,2021-06-15
Portugal,UEFA,1666,2021-06-15
Spain,UEFA,1648,2021-06-15
Italy,UEFA,1642,2021-06-15
Argentina,CONMEBOL,1642,2021-06-15
Uruguay,CONMEBOL,1639,2021-06-15
Denmark,UEFA,1632,2021-06-15
Mexico,CONCACAF,1630,2021-06-15
Germany,UEFA,1609,2021-06-15
Switzerland,UEFA,1606,2021-06-15
Croatia,UEFA,1606,2021-06-15
Colombia,CONMEBOL,1601,2021-06-15
Netherlands,UEFA,1598,2021-06-15
Wales,UEFA,1570,2021-06-15
Sweden,UEFA,1570,2021-06-15
Chile,CONMEBOL,1570,2021-06-15
USA,CONCACAF,1555,2021-06-15
Poland,UEFA,1550,2021-06-15
Senegal,CAF,1542,2021-06-15
Austria,UEFA,1523,2021-06-15
Ukraine,UEFA,1515,2021-06-15
Serbia,UEFA,1513,2021-06-15
Tunisia,CAF,1513,2021-06-15
Peru,CONMEBOL,1512,2021-06-15
Japan,AFC,1509,2021-06-15
Turkey,UEFA,1505,2021-06-15
Venezuela,CONMEBOL,1501,2021-06-15
Iran,AFC,1500,2021-06-15
Nigeria,CAF,1487,2021-06-15
Algeria,CAF,1487,2021-06-15
Morocco,CAF,1479,2021-06-15
Paraguay,CONMEBOL,1476,2021-06-15
Slovakia,UEFA,1475,2021-06-15
Hungary,UEFA,1469,2021-06-15
Russia,UEFA,1463,2021-06-15
South Korea,AFC,1460,2021-06-15
Czechia,UEFA,1459,2021-06-15
Australia,AFC,1457,2021-06-15
Norway,UEFA,1452,2021-06-15
Romania,UEFA,1449,2021-06-15
Scotland,UEFA,1441,2021-06-15
Jamaica,CONCACAF,1433,2021-06-15
Egypt,CAF,1433,2021-06-15
Ireland,UEFA,1427,2021-06-15
N. Ireland,UEFA,1426,2021-06-15
Ghana,CAF,1425,2021-06-15
Costa Rica,CONCACAF,1423,2021-06-15
Greece,UEFA,1419,2021-06-15
Iceland,UEFA,1416,2021-06-15
Ecuador,CONMEBOL,1413,2021-06-15
Finland,UEFA,1411,2021-06-15
Cameroon,CAF,1405,2021-06-15
Bosnia,UEFA,1405,2021-06-15
Mali,CAF,1401,2021-06-15
Qatar,AFC,1398,2021-06-15
Ivory Coast,CAF,1398,2021-06-15
Burkina Faso,CAF,1393,2021-06-15
DR Congo,CAF,1377,2021-06-15
North Macedonia,UEFA,1375,2021-06-15
Slovenia,UEFA,1370,2021-06-15
Montenegro,UEFA,1368,2021-06-15
Saudi Arabia,AFC,1364,2021-06-15
Albania,UEFA,1362,2021-06-15
Honduras,CONCACAF,1361,2021-06-15
Iraq,AFC,1353,2021-06-15
El Salvador,CONCACAF,1341,2021-06-15
Canada,CONCACAF,1341,2021-06-15
Bulgaria,UEFA,1339,2021-06-15
Guinea,CAF,1332,2021-06-15
U. A. E.,AFC,1330,2021-06-15
Cape Verde,CAF,1330,2021-06-15
South Africa,CAF,1326,2021-06-15
Belgium,UEFA,1780,2021-02-18
France,UEFA,1755,2021-02-18
Brazil,CONMEBOL,1743,2021-02-18
England,UEFA,1670,2021-02-18
Portugal,UEFA,1662,2021-02-18
Spain,UEFA,1645,2021-02-18
Argentina,CONMEBOL,1642,2021-02-18
Uruguay,CONMEBOL,1639,2021-02-18
Mexico,CONCACAF,1632,2021-02-18
Italy,UEFA,1625,2021-02-18
Croatia,UEFA,1617,2021-02-18
Denmark,UEFA,1614,2021-02-18
Germany,UEFA,1610,2021-02-18
Netherlands,UEFA,1609,2021-02-18
Colombia,CONMEBOL,1601,2021-02-18
Switzerland,UEFA,1593,2021-02-18
Chile,CONMEBOL,1567,2021-02-18
Wales,UEFA,1562,2021-02-18
Poland,UEFA,1559,2021-02-18
Senegal,CAF,1558,2021-02-18
Sweden,UEFA,1558,2021-02-18
USA,CONCACAF,1548,2021-02-18
Austria,UEFA,1531,2021-02-18
Ukraine,UEFA,1521,2021-02-18
Peru,CONMEBOL,1512,2021-02-18
Tunisia,CAF,1503,2021-02-18
Japan,AFC,1502,2021-02-18
Venezuela,CONMEBOL,1501,2021-02-18
Iran,AFC,1496,2021-02-18
Serbia,UEFA,1492,2021-02-18
Algeria,CAF,1488,2021-02-18
Turkey,UEFA,1487,2021-02-18
Morocco,CAF,1481,2021-02-18
Slovakia,UEFA,1478,2021-02-18
Paraguay,CONMEBOL,1476,2021-02-18
Nigeria,CAF,1474,2021-02-18
Romania,UEFA,1466,2021-02-18
South Korea,AFC,1465,2021-02-18
Russia,UEFA,1461,2021-02-18
Hungary,UEFA,1460,2021-02-18
Australia,AFC,1457,2021-02-18
Ireland,UEFA,1456,2021-02-18
Czechia,UEFA,1456,2021-02-18
Norway,UEFA,1450,2021-02-18
N. Ireland,UEFA,1440,2021-02-18
Iceland,UEFA,1438,2021-02-18
Jamaica,CONCACAF,1437,2021-02-18
Scotland,UEFA,1436,2021-02-18
Egypt,CAF,1432,2021-02-18
Costa Rica,CONCACAF,1427,2021-02-18
Cameroon,CAF,1427,2021-02-18
Ghana,CAF,1424,2021-02-18
Greece,UEFA,1413,2021-02-18
Mali,CAF,1412,2021-02-18
Finland,UEFA,1411,2021-02-18
Bosnia,UEFA,1410,2021-02-18
Ecuador,CONMEBOL,1409,2021-02-18
Qatar,AFC,1391,2021-02-18
Burkina Faso,CAF,1391,2021-02-18
DR Congo,CAF,1386,2021-02-18
Ivory Coast,CAF,1384,2021-02-18
Slovenia,UEFA,1379,2021-02-18
Montenegro,UEFA,1370,2021-02-18
Honduras,CONCACAF,1367,2021-02-18
North Macedonia,UEFA,1362,2021-02-18
Albania,UEFA,1360,2021-02-18
Saudi Arabia,AFC,1353,2021-02-18
Bulgaria,UEFA,1350,2021-02-18
Iraq,AFC,1348,2021-02-18
El Salvador,CONCACAF,1344,2021-02-18
South Africa,CAF,1341,2021-02-18
Guinea,CAF,1334,2021-02-18
Canada,CONCACAF,1332,2021-02-18
U. A. E.,AFC,1326,2021-02-18
China,AFC,1323,2021-02-18
Belgium,UEFA,1780,2021-02-03
France,UEFA,1755,2021-02-03
Brazil,CONMEBOL,1743,2021-02-03
England,UEFA,1670,2021-02-03
Portugal,UEFA,1662,2021-02-03
Spain,UEFA,1645,2021-02-03
Argentina,CONMEBOL,1642,2021-02-03
Uruguay,CONMEBOL,1639,2021-02-03
Mexico,CONCACAF,1632,2021-02-03
Italy,UEFA,1625,2021-02-03
Croatia,UEFA,1617,2021-02-03
Denmark,UEFA,1614,2021-02-03
Germany,UEFA,1610,2021-02-03
Netherlands,UEFA,1609,2021-02-03
Colombia,CONMEBOL,1601,2021-02-03
Switzerland,UEFA,1593,2021-02-03
Chile,CONMEBOL,1567,2021-02-03
Wales,UEFA,1562,2021-02-03
Poland,UEFA,1559,2021-02-03
Senegal,CAF,1558,2021-02-03
Sweden,UEFA,1558,2021-02-03
USA,CONCACAF,1545,2021-02-03
Austria,UEFA,1531,2021-02-03
Ukraine,UEFA,1521,2021-02-03
Peru,CONMEBOL,1512,2021-02-03
Tunisia,CAF,1503,2021-02-03
Japan,AFC,1502,2021-02-03
Venezuela,CONMEBOL,1501,2021-02-03
Iran,AFC,1496,2021-02-03
Serbia,UEFA,1495,2021-02-03
Algeria,CAF,1488,2021-02-03
Turkey,UEFA,1487,2021-02-03
Slovakia,UEFA,1478,2021-02-03
Paraguay,CONMEBOL,1476,2021-02-03
Morocco,CAF,1474,2021-02-03
Nigeria,CAF,1474,2021-02-03
Romania,UEFA,1466,2021-02-03
South Korea,AFC,1465,2021-02-03
Russia,UEFA,1461,2021-02-03
Hungary,UEFA,1460,2021-02-03
Australia,AFC,1457,2021-02-03
Czechia,UEFA,1456,2021-02-03
Ireland,UEFA,1456,2021-02-03
Norway,UEFA,1450,2021-02-03
N. Ireland,UEFA,1440,2021-02-03
Iceland,UEFA,1438,2021-02-03
Jamaica,CONCACAF,1437,2021-02-03
Scotland,UEFA,1436,2021-02-03
Egypt,CAF,1432,2021-02-03
Cameroon,CAF,1428,2021-02-03
Costa Rica,CONCACAF,1427,2021-02-03
Ghana,CAF,1424,2021-02-03
Greece,UEFA,1413,2021-02-03
Finland,UEFA,1411,2021-02-03
Bosnia,UEFA,1410,2021-02-03
Ecuador,CONMEBOL,1409,2021-02-03
Mali,CAF,1408,2021-02-03
Burkina Faso,CAF,1391,2021-02-03
Qatar,AFC,1391,2021-02-03
DR Congo,CAF,1386,2021-02-03
Ivory Coast,CAF,1384,2021-02-03
Slovenia,UEFA,1379,2021-02-03
Montenegro,UEFA,1370,2021-02-03
Honduras,CONCACAF,1367,2021-02-03
North Macedonia,UEFA,1362,2021-02-03
Albania,UEFA,1360,2021-02-03
Saudi Arabia,AFC,1353,2021-02-03
Bulgaria,UEFA,1350,2021-02-03
Iraq,AFC,1347,2021-02-03
El Salvador,CONCACAF,1346,2021-02-03
South Africa,CAF,1341,2021-02-03
Canada,CONCACAF,1332,2021-02-03
Guinea,CAF,1329,2021-02-03
U. A. E.,AFC,1326,2021-02-03
China,AFC,1323,2021-02-03
